url,tema,Dimensões:,Edição:,Coleção:,Autor:,Marca:,Idioma:,ISBN:,Número de páginas:,Peso:,Ano de publicação:,Encadernação:
https://www.cirandacultural.com.br/produto/fisica-efervescente-8728,/products/vitrine/temas ciencias e geografia,27cm x 21cm,1,Revelando a ciência,Steve Parker,Ciranda Cultural,Português,9788538031192,32,164 gramas,,Brochura
https://www.cirandacultural.com.br/produto/estegossauro-7799,/products/vitrine/temas ciencias e geografia,30cm x 23cm,1,Livro quebra-cabeça,Ciranda Cultural,Ciranda Cultural,Português,9788538055150,8,585 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/barbie-festa-de-aniversario-12590,/products/vitrine/temas aventura e fantasia,28cm x 27cm,1,Livro com aquarela,Ciranda Cultural,Ciranda Cultural,Português,9788538077879,16,116 gramas,,Grampeado
https://www.cirandacultural.com.br/produto/safari-9386,/products/vitrine/temas ciencias e geografia,20cm x 20cm,1,Não se aplica,Child Play,Ciranda Cultural,Português,9788538034858,10,545 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/cinderela-7193,/products/vitrine/temas aventura e fantasia,35cm x 27cm,1,Colorindo,Ciranda Cultural,Ciranda Cultural,Português,9788538041870,16,102 gramas,,Brochura
https://www.cirandacultural.com.br/produto/dc-super-friends-trabalhando-em-equipe-12746,/products/vitrine/temas aventura e fantasia,23cm x 17cm,1,Box com janela com 6,Ciranda Cultural,Ciranda Cultural,Português,9788538084402,60,502 gramas,,Capa dura
https://www.cirandacultural.com.br/produto/transformers-uma-equipe-imbativel-10339,/products/vitrine/temas aventura e fantasia,21cm x 19cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538073741,10,194 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/dora-a-aventureira-dora-e-seus-amigos-8064,/products/vitrine/temas aventura e fantasia,27cm x 19cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538051350,8,35 gramas,,Grampeado
https://www.cirandacultural.com.br/produto/dinossauros-9524,/products/vitrine/temas ciencias e geografia,31cm x 26cm,1,Sons,Maurice Piedger,Ciranda Cultural,Português,9788538003779,16,613 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/dinossauros-iguanodonte-10012,/products/vitrine/temas aventura e fantasia,13cm x 10cm,1,Minilivro,Paulo Moura,Ciranda Cultural,Português,9788538072409,16,20 gramas,,Grampeado
